date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:07	24728/24728	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202026%2014:42:07%20GMT	https://odontointer.com.br/	C:/Users/TiagoBatista/Documents/odontointer-site-main/odontointer.com.br/index.html	(from )
11:42:07	90/90	---M--	200	added ('OK')	text/plain	date:Fri,%2006%20Mar%202026%2014:42:06%20GMT	https://odontointer.com.br/robots.txt		(from )
11:42:09	102714/102714	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Mar%202026%2014:42:08%20GMT	https://odontointer.com.br/assets/criadordesites.css?7cdbfefa-f19b-4d0e-9e59-1eae7cac8f0c	C:/Users/TiagoBatista/Documents/odontointer-site-main/odontointer.com.br/assets/criadordesites5c45.css	(from https://odontointer.com.br/)
11:42:09	85325/85325	---M--	200	added ('OK')	image/jpeg	etag:%22fb1b2029dc1645c9d67383d934112318%22	https://yata-apix-1ab92f5a-324f-49e0-9e60-8a3b81336fd1.s3-object.locaweb.com.br/a1c0658b2c8848868ed2e6735f75b339.jpg	C:/Users/TiagoBatista/Documents/odontointer-site-main/yata-apix-1ab92f5a-324f-49e0-9e60-8a3b81336fd1.s3-object.locaweb.com.br/a1c0658b2c8848868ed2e6735f75b339.jpg	(from https://odontointer.com.br/)
11:42:09	5472/5472	---M--	200	added ('OK')	image/jpeg	etag:%2211e6e49f7967bf70c11ee4f630eb4396%22	https://yata-apix-1ab92f5a-324f-49e0-9e60-8a3b81336fd1.s3-object.locaweb.com.br/c62385fe3bac42e2ac6106304ce096b7.jpg	C:/Users/TiagoBatista/Documents/odontointer-site-main/yata-apix-1ab92f5a-324f-49e0-9e60-8a3b81336fd1.s3-object.locaweb.com.br/c62385fe3bac42e2ac6106304ce096b7.jpg	(from https://odontointer.com.br/)
11:42:10	22321/22321	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202026%2014:42:09%20GMT	https://odontointer.com.br/produtos	C:/Users/TiagoBatista/Documents/odontointer-site-main/odontointer.com.br/produtos.html	(from https://odontointer.com.br/)
11:42:10	32958/32958	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202026%2014:42:09%20GMT	https://odontointer.com.br/botox	C:/Users/TiagoBatista/Documents/odontointer-site-main/odontointer.com.br/botox.html	(from https://odontointer.com.br/)
11:42:10	34451/34451	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202026%2014:42:10%20GMT	https://odontointer.com.br/clareamento	C:/Users/TiagoBatista/Documents/odontointer-site-main/odontointer.com.br/clareamento.html	(from https://odontointer.com.br/)
11:42:11	32966/32966	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202026%2014:42:10%20GMT	https://odontointer.com.br/facetas	C:/Users/TiagoBatista/Documents/odontointer-site-main/odontointer.com.br/facetas.html	(from https://odontointer.com.br/)
11:42:11	23160/23160	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Mar%202026%2014:42:10%20GMT	https://odontointer.com.br/entre-em-contato	C:/Users/TiagoBatista/Documents/odontointer-site-main/odontointer.com.br/entre-em-contato.html	(from https://odontointer.com.br/)
